Source Term	Target Term
Dumbbell ossification	osificación en forma de diábolo
dummy scan	espectro simulado
duodenal ulcer perforation	perforación de úlcera de duodeno
"Dunnett""s test"	prueba de Dunnett
duration of action	duración de la acción
duplicate injections	inyecciones duplicadas
dust cap	capuchón
duration of run	tiempo de corrida
duration of postdosing	período posdosis
DVS	DVS
duration of dosing	período de administración
dwell time	tiempo de permanencia
DVT	TVP
dye leakage	fuga mediante tinción
dysglycaemia	disglucemia
dyer	tintura
dymethyl sulfoxide	dimetilsulfóxido
dysgeusia	disgeusia
DXA	DXA
dynamical vapour sorption	sorción dinámica de vapor
dynamic vapor absorption	absorción dinámica de vapor
dye terminator	terminador marcado
dynamic vapor sorption	sorción dinámica de vapor
dysplastic dentin	displasia dentinaria
dysphagia	disfagia
dysmorphogenic potential	potencial dismorfogénico
dyspepsia	dispepsia
dysmenorrhoea	dismenorrea
dyslipidaemia	dislipidemia
dysmorphogenesis	dismorfogénesis
e 3	Mariana
dystonia	distonía
E (dimension for a closure in the inside diameter of the thread)	diámetro de la rosca
dysplastic nevi	nevus displásico
dyspnea index	índice de disnea
dystocia	distocia
e	leucotrieno
Dyspnea Index	Indice Transicional de Disnea de Mahler
dyspnoea	disnea
ear disorder nos	trastorno del oído sin especificar
e damage	lesión cromosómica
each individual impurity	impurezas individuales
eA-3	eA(exp)-3
e Detector	detector óptico de posición
ear and labyrinth disorders	trastornos del oído y del laberinto
EAR	NPE
"Earle""s balanced salt solution"	solución salina equilibrada de Earle
earchByQuery.do?method=searchDetail&amp;lilId=1617479&amp;langId=&amp;query=plating&amp;sourceLanguage=en&amp;domain=0&amp;matching=&amp;start=0&amp;next=1&amp;targetLanguages=es	8240164--pre-clinical-study-report-u11283601
EC	CE
EC	Comité de Ética
EASD	AEED
early-access drug	medicamento de acceso temprano
Early Withdrawal Visit	visita de retiro anticipado
early steps	etapas iniciales
EBSS	EBSS
EC	CE
early promoter region	región promotora temprana
Early Phase II clinical trial	ensayo clínico de Fase II temprana
echocardiogram	ecocardiograma
eCRF	eCRF
ECG ST	segmento ST del ECG
ECG gating	gatillado por ECG
ECG de 12 derivaciones de reposo	Study Report Body 25 a 45 (afatinib)
ECG	ECG
echogenicity	ecogenicidad
ECG vendor	proveedor del servicio de ECG
ECGS	ECGS
eCcr	CLCR estimada
ecchymosis	equimosis
ECOG	ECOG
EDC	EDC
ed ischium	isquion no osificado
ED50	DE50
ECT	TCE
Ectromelia virus	virus Ectromelia
ECSC	CECA
edged	borde biselado
edetate	edetato
EDC-HCl	EDC
"edia.org/wiki/Pareamiento_por_puntaje_de_propensi%C3%B3n"""	RMP_Olodaterol_V2_S0000634605 184 a 198
ectopic pregnancy	embarazo ectópico
ED	DE
eDISH	eHTMG
edible	comestible
Edimburgh postnatal depression scale	Escala de depresión postnatal de Edinburgo
"ediff/SearchByQuery.do?method=searchDetail&amp;lilId=1068828&amp;langId=&amp;query=health%20care%20provider&amp;sourceLanguage=en&amp;domain=0&amp;matching=&amp;start=0&amp;next=1&amp;targetLanguages=es"""	Spriva Respimat Clin Trial Report_205418_U12246601
EDV	VFD
EDTA solution	solución de EDTA
EEA	EEE
effect plot	gráfica de efectos
EDTA disodium salt	EDTA disódico
EFD	DEF
EDQM	EDQM
EEF	EEF
EE	EE
effect ceiling	efecto techo
EDTA	EDTA
EFV	EFV
EGFR	EGFR
efficacy variable	variable de efectividad
EGF	EGF
efficacy endpoint	criterio de valoración de la eficacia
efficacy outcome	resultado de efectividad
efficacy	efectividad
Efficacy Analysis Grouping	agrupamiento por análisis de efectividad
EGF receptor isoforms	isoformas del receptor del EGF
El ErbB1 codifica el EGFR	BI approved
el	panel de observación
el ErbB codifica EGFR	BI approved
elasticity	elasticidad
eight cascade impactor	impactador de ocho cascadas
EGFR mutation non-small cell lung cancer	carcinoma de pulmón de células no pequeñas o microcítico con mutación del Receptor del Factor de Crecimiento Epidérmico (EGFR)
ejection force	fuerza de expulsión
Electro Chemiluminescence	electroquimioluminiscencia
electro-chemiluminescence	electroquimioluminiscencia
electrocardiogram	electrocardiograma
electric field	campo eléctrico
electrolytes	electrolito
elastomer	elastómero
elective abortion	aborto electivo
electrolyte abnormality	anomalía electrolítica
electron microscopy grid	rejilla para microscopía electrónica
electronic case report form	Formulario Electrónico de Reporte de Casos
Electronic Laboratory Animal Monitoring System	sistema de monitoreo electónico de animales de laboratorio
electrospray ionization	ionización por electrospray
electrophoresis	electroforesis
electronic transponder identification chips	chip de identificación con transpondedor electrónico
electropherogram	electroferograma
Electronic Medical Records	historia clínica electrónica
Electroretinogram	Electroretinograma
electrospray	electronebulizador
elegibility	elegibilidad
ELISA reader	lector (de placas/ microplacas) ELISA
elongated capsule	cápsula oblonga
ELISA were set by using a k-sigma statistical approach, with k = 5. // http://depa.fquim.unam.mx/amyd/archivero/MicrobiologiayBiotecnologia_13405.pdf	Sp-2487432_S241_ABIOAL0202_Q0020527702-pags1-14_tr-SF
elemental analysis	análisis elemental
elemental iron	hierro en estado elemental
elimination half life	vida media de eliminación
eluent	eluyente
elute	eluir
elution order	orden de elución
elucidation	elucidación estructural
eluate	eluido
eluent buffer	buffer de elución
Emax	Emáx
embryofetal development	desarrollo embriofetal
embolize	embolizar
embryofoetal viability	viabilidad embriofetal
Emax model	modelo Emax
embryo-fetal biomass	biomasa embriofetal
embed	incluir
EMA guideline	directrices de la EMA
embryo-fetal toxicity	toxicidad embriofetal
embryotoxic effect	toxicidad embrionaria
embryonic development	desarrollo embrionario
emesis	emesis
eMC	eMC
emotional function	función emocional
emotionally charged situations	situaciones que implican una carga emocional
emotional lability	labilidad emocional
EMEA	EMEA
EMH	HEM
emulsification	emulsificación
empa random	empa aleatorizada
EMR	HCE
en el glosario esta methylprednisolone=metilprednisolona	J of Allergy &amp; Clin Immunology_2011, 128 (2) 208-314_P11-08370 desde DISCUSSION (pág. 4) hasta el final
emphysema	enfisema
en medición de exipientes	83145_P832_AI0105_H023852_36m (Bisolvón)
emulsifier	emulsionante
emphysema	P: MA 9-8-16
En 2009 se convirtió en EMA	BI approved
enamine	enamina
enamel	esmalte dental
enalapril	enalapril
en: Grind 10 Tabs to a fine mass using an agate mortar	83145_P520_AI0102_A113673 (Bisolvón)
"en: the FDA""s September 1997 Guidance for Industry"	Vergatef B86368_P450_BA0102_A130612
enamel organ	órgano del esmalte
en sistema de HPLC	83145_P832_AI0105_H023852_36m (Bisolvón)
en: Cardiac left ventricular function with resting ejection fraction	Legacy Clinical Study Report_U07312802 (Afanatib)
encrusted	con costras
encapsulation step	encapsulación
enchondral	endocondral
encrustation	encostración
enantiomeric purity	pureza enantiomérica
enantiotropically related forms	formas enanciotrópicas
ENCePP Guide on Methodological Standards in Pharmacoepidemiology	Guía sobre las normas metodológicas en farmacoepidemiología
ENCePP	ENCePP
enantiomers	enantiómeros
endocrine neoplasms malignant and unspecified NEC	neoplasias endocrinas malignas y no especificadas NCOC
endocrine neoplasm malignant	neoplasia endocrina maligna
end tincture tank	tanque de almacenamiento de la tintura final
end stage renal disease	insuficiencia renal terminal
end-diastolic volume	volumen de fin de diástole
end-systolic volume	volumen de fin de sístole
endometrial epithelium	epitelio endometrial
endogenous glucose output	producción endógena de glucosa
endogenous thrombin potential	potencial de trombina endógena
energy intake	aporte energético
energy uptake	consumo de energía
endometrial carcinoma	carcinoma endometrial
endpoint	criterio de valoración
endurance time	tiempo de resistencia
endotherm	endotermia
english	spanish
engineered library	genoteca
enone	enona
enhanced anaerobic metabolism	metabolismo celular anaeróbio aumentado
enoxaparin	enoxaparina
enetrobacteria	enterobacteria
enol moiety	grupo enol
entrance criteria	criterios de elegibilidad
enteric pathogen	patógeno entérico
enteric infections	infección entérica
enriched cortex	corteza renal enriquecida
enthalpy	entalpía
enteral nutrition	alimentación por sonda nasogástrica
entropic barrier	barrera entrópica
enroll	reclutar
enterococcal bacteremia	bacteriemia enterocócica
enterohepatic recycling	recirculación enterohepática
enzyme autoinduction	autoinducción enzimática
enveloped virus	virus envuelto
enumeration	recuento
enzymatic creatinine	creatinina enzimática
environmental stimuli	estímulos del entorno
enzymatic and cell-based assays	ensayos celulares y enzimáticos
enzyme assay	ensayo enzimático
Environmental Protection Agency	Agencia Federal de Protección Ambiental
eosin	eosina
EORTC	EORTC
enzyme catalysed metabolism	metabolismo catalizado por enzimas
enzyme-inhibitor complex	complejo enzima-inhibidor
EOS	VFE
eosinophilic globules	glóbulo eosinófilo
eosinophil	eosinófilo
EPA	EPA
EPDS	EPDS
eosinophilia	eosinofilia
EPAR	EPAR
epi	epiteliales
EP	patente europea
epidemiology	epidemiología
epigenetic	epigenética
Epidermal growth factor receptor	Receptor del factor de crecimiento epidérmico
epidemiological background data	antecedentes epidemiológicos
epicutaneous histamine phosphate challenge	pruebas epicutáneas
Epidermal growth factor receptor-tyrosine kinase inhibitor	Receptor del factor de crecimiento epidérmico/inhibidor de la cinasa de tirosina
epidermoid carcinoma	carcinoma epidermoide
epimerization	epimerización
epimer	epímero
episodes	episodios
epitope specificity	especificidad epitópica
eprosartan	eprosartán
epitope	epitopo
epithelial cancer	cáncer de tipo epitelial
epiphyseal plate	placa de crecimiento
epinastine hydrochloride	clorhidrato de epinastina
epirubicin	epirrubicina
Eppendorf tube	tubo Eppendorf
EPT	análisis del producto terminado
Epstein-Barr viral capsid antigen	antígeno de la cápside vírica del virus Epstein-Barr
er	trastornos mentales
equilibration time	tiempo de equilibrio
equilibrium solubility	solubilidad de equilibrio
ErbB family blocker	bloqueador de la familia de receptores ErbB
ER	ER
ergoloid mesylate	mesilato ergoloide
equilibrium dialysis	diálisis de equilibrio
equilibrium dissociation constant	constante de disociación en el equilibrio
ERG	ERG
equipoise	equiponderación
erythromycin	eritromicina
erythroid series	serie eritroide
ERS	ERS
erminar	BI dic-2012
erythrocytopoiesis	eritropoyesis
erosion	erosión
erythroblasts	eritroblasto
erythema	eritema
erythroderma	eritroderma
ERK	ERK
error propagation	propagación de errores
erucylamid	erucilamida
escine	escina
ESI	ESI
escalating doses	dosis aumentadas escalonadamente
erythropenia	eritocitropenia
ES	ES
ES-	ES-
ES:http://es.wikipedia.org/wiki/Anticuerpo	RMP_Praxbind_V1.0_S0001880501
escalation scheme	regimen de escalada
es el nombre de un reactivo	Vergaref 20671_S731_AF6712009_U11158501
ester	éster
esophageal hemorrhage	hemorragia esofágica
esophageal	esofágico
essential hypertension	hipertensión esencial
esilate	esilato
esophago-gastro-duodenal mucosa	mucosa esófago-gastroduodenal
estrus cycle	ciclo estral
ESWT	prueba de caminata de carga progresiva
estrone 3-sulfate	estrona-3-sulfato
estimate statements	instrucción de estimación
estrogen receptor	receptor de estrógeno
esterase catalysed hydrolysis	hidrólisis catalizada por esterasas
estrous cyclicity	ciclicidad del estro
Estimated Average Requirement	necesidad promedio estimada
esylate	esilato
ethinylestradiol	etinilestradiol
ethoxy compound	compuesto etoxi
Ethanol, anhydrous	etanol anhidro
ethanol 96% R	etanol 96% R
et al.	y col.
ethanolamine	etanolamina
ethoxycoumarin	etoxicumarina
ethanolic treatment	tratamiento etanólico
Ethane sulfonate	sulfonato de etano
ethics board	consejo de ética
ethylenediamine tetraacetic acid	ácido etilendiaminotetraacético
etonogestrel	etonogestrel
ethyl ester group	grupo éster etílico
ethylendiamintetraacetate	etiléndiaminotetracetato de sodio
ethylestradiol	etilestradiol
ethyl acetate	acetato de etilo
ethyl ethanesulfonate	ácido etil etanosulfónico
ethyl-(S)-4-chloro-3-hydroxybutyrate	etil-(S)-4-cloro-3-hidroxibutirato
etoposide	etopósido
ETOH	etanol
EU/mg	UE/mg
EU Regulations	Normas de la Unión Europea
ETP	PTE
Eudragit	Eudragit
European Coal and Steel Community	Comunidad Europea del Carbón y del Acero
European Commission Guideline on the Readability of the Label and Package Leaflet of Medicinal Products for Human Use	Guía Europea de la Legibilidad del Prospecto y Etiquetado de los Medicamentos de Uso Humano
European College of Veterinary Pathologists	Colegio Europeo de Patólogos Veterinarios
European Comission	Comisión Europea
EURD list	lista EURD
European Agency for the Evaluation of Medicinal Products	Agencia Europea de Evaluación de Especialidades Farmacéuticas
European Economic Area	Espacio Económico Europeo
European Medical Device Directive	Directiva Europea sobre Productos Sanitarios
European Community Respiratory Health Survey	Encuesta de Salud Respiratoria de la Comunidad Europea
European Union Council	Consejo de la Unión Europea
European Union	Unión Europea
European Respiratory Society	Sociedad Europea de Enfermedades Respiratorias
European Organization for Research and Treatment of Cancer	Organización Europea de Investigación y Tratamiento del Cáncer
European Medicines Agency	Agencia Europea de Medicamentos
European Society of Hypertension	Sociedad Europea de Hipertensión
European Society of Cardiology	Sociedad Europea de Cardiología
europium labelled	marcado con europio
EuroQol Quality of Life Questionnaire	Cuestionario de calidad de vida desarrollado por el grupo EuroQoL
EuroQol group	grupo EuroQoL
evaluability	evaluabilidad
event with an outcome of death	evento que derivó en muerte
Events (CTCAE)	Legacy Clinical Study Report_U07312802 (Afanatib)
evaporator	evaporador
event/evento adverso grave	Empaglifozina M2 14-15
evaporation plate	placa de evaporación
Evening dose	dosis nocturna
evaluation of Drug-Induced Serious Hepatotoxicity	evaluación de hepatoxicidad medicamentosa grave
event driven study	ensayo de duración determinada por eventos
excipient interference	interferencia del excipiente
everolimus	everolimus
"ews/Bayer.html"""	Olodaterol_QOS_U11281401_CZ I-II
ex-factory	en fábrica
exacerbation	reagudización
excess death rate	tasa de muertes adicionales
ex-mouthpiece	a través de la boquilla
excipient	excipiente
excess risk	exceso de riesgo
excipient peak	pico del excipiente
excretion pathways	vías de excreción
excitation	excitación
excipients	excipientes
excretion balance	balance de excreción
excoriation	excoriación
excl. gaps	gaps excluidos
excision	extracción
exclusion test	prueba de exclusión
excoriation	0
excitement	excitación
exertional dyspnea	disnea por esfuerzo
exenatide	exenatida
Executive Carcinogenicity Assessment Committee	Comité ejecutivo de evaluación de carcinogénesis
exfoliative rash	exantema exfoliativo
exercise tolerance test	prueba de tolerancia al ejercicio
Executive Carcinogenicity Assessment Committeve Carcinogenicity Assessment Committee	Comité ejecutivo de evaluación de carcinogénesis
executive summary	resumen
exendin-4	exendina-4
excursions	variación
exercise endurance time	tiempo de resistencia al ejercicio
exogeneously expressed intracellular domain	expresión exógena del dominio extracelular
expectorant	expectorante
expansion cohort	expansión de cohorte
expansión de la sigla MDR-1	Study Report Body 25 a 45 (afatinib)
expected value	esperanza matemática
exhaust air temperature	temperatura de aire de salida
exhaustion	agotamiento
exon	exón
EXP.	Vto.
experiment	ensayo
explanatory variables	variable explicativa
exploded view	"""vista detallada; ampliación"
expedited safety reporting	notificación expeditiva de seguridad
experimental stage	etapa experimental
experimental model	modelo expermiental
expert system	sistema experto
exploratory pharmacokinetics	estudios exploratorios farmacocinéticos
exposure keratitis	queratitis por exposición
exploratory superiority	Maia
exposure cohort	cohorte
explorative toxicity study	estudio exploratorio de toxicidad
exploratory pharmacokinetics (PK)	estudios exploratorios farmacocinéticos
exposure correction	corrección por exposición
exploratory stability data	datos de estabilidad exploratorios
exploded view	vista detallada
exposure	exposición
expression vector	vector de expresión
expression clone	clon de expresión
extended release	liberación prolongada
expressed human enzymes	enzyma humana expresada
expression period	período de latencia
exsanguinate	exanguinar
exposure-adjusted risk difference	diferencia de riesgo ajustada por la exposición
exposure-adjusted incidence rate ratios	razón de tasas de incidencia ajustadas por la exposición
exposure multiple	múltiplo de la exposición
express	expresar
extended-release controlling matrix	matriz de liberación prolongada
extended S+L- assay	ensayo S+L extendido
extended release controlling matrix	matriz de liberación prolongada
extent of absorption	grado de absorción
extended run	corrida extendida
extended set	conjunto ampliado
external levator advancement	corrección del músclo elevador externo
extension	extensión
extensive distribution	distribución amplia
extraction solvent	disolvente de extracción
external standard method	método estandar externo
extractable oil	aceite extraíble
extractable component	componente extraíble
extra-granular	extragranular
extractor	extractor
extramedullary haemopoiesis	hematopoyesis extramedular
extraneous matter	impureza
extraocular muscles	músculos extrínsecos del globo ocular
extravascular compartment	compartimiento extravascular
eye medication	medicamento para los ojos
extrusion	extrusión
extravascular distribution	distribución extravascular
extravascular	extravascular
extremity pain	dolor en una extremidad
eye disorder	trastorno del ojo
F-value	valor F
F - fraction bioavailable	frac. biodisp. - Fracción biodisponible
F	FR
f - female	Hemb. - Hembra/s
eye oedema	edema ocular
f%	fi
f/FindTermsByLilId.do?lilId=38563&amp;langId=es	83205_Clinical Overview_PHN-1114.1 CO
Fa	Fa
FA - Fatty acids	AG - Ácidos grasos
F2	F2
Fab	Fab
F1	F1
F25-Spanish Suplemento 1.pdf	CoA_Acesulfame Potassium_115089_signed.pdf
F1 - Filial generation (offspring)	F1 - Generación filial (camada)
FA	AG
facilities	centro, Instalaciones
fab binding activity assay	ensayo de unión del fragmento Fab
fade-out time	tiempo de atenuación
facilities	centro
facilitation	facilitación
face oedema	edema facial
facilitative	facilitador
family-wise error rate	FWER
fall mixer	mezclador vertical
famotidine	famotidina
Faldaprevir Sodium Form A	forma A del Faldapevir sódico
family practices	medicina familiar
Faldaprevir Sodium	Faldaprevir sódico
fainting spells	desmayos
fatal	fatal
fat atrophy	atrofia grasa
fatal stroke	accidente cerebrovascular fatal
fatty acids	ácidos grasos
fat staining	tinción para lípidos
fat droplet	gotas de lípidos
FAS24	GCA24
fasting plasma glucose	glucemia en ayunas
fatty oils	aceites grasos
fB	fu
fb	fb
fatty inflitration	infiltración grasa
FCS	SFB
FBIL	BD
FDA draft drug-drug interaction guidance	borrador correspondiente al manual de interacciones medicamentosas de la FDA
FCT	CRP
FDC	CDF
FDCA	FDCA
FDC - fixed-dose combination	CDF - (comprimidos) de combinación a dosis fija
FDA	FDA
FDV	FDV
FDC development program	programa de desarrollo de la combinación a dosis fija
FDG-PET	FDG-TEP
fe	FE
feasibility report	informe de viabilidad
fed batch culture	cultivo alimentado
feasibilty study	estudio de factibilidad
fed batch mode	modo cultivo alimentado
fed conditions	sin ayuno
fecal elastase-1	elastasa fecal-1
febrile neutropenia	neutropenia febril
Federal Food and Medical Technology Agency	Administración Nacional de Medicamentos, Alimentos y Tecnología Médica (ANMAT)
Federal Food, Drug, and Cosmetic Act (FDCA)	Ley Federal de Alimentos, Medicamentos y Cosméticos (FDCA)
feed flow rate	flujo de alimentación
feed media	medios de cultivo para la nutrición
Federal Institute for Drugs and Medical Devices (BfArM)	Instituto Federal de Medicamentos y Dispositivos Médicos de Alemania (BfArM)
feeling abnormal	sensación anormal
feed	toma
Federal Institute for Drugs and Medical Devices	Instituto Federal de Medicamentos y Dispositivos Médicos de Alemania
Federation of European Laboratory Animal Science Associations	Federación de Asociaciones Europeas para las Ciencias del Animal de Laboratorio
Ferric (III) choline citrate	citrato de colina y hierro (III)
Femoral neck fracture	fractura del cuello del fémur
FELASA	FELASA
Femigoa	Femigoa
femtolitre	femtolitro
ferric ion	ión férrico
ferric chloride	cloruro de hierro
fenoterol	fenoterol
FEF	FEF
FEIBA	FEIBA
Feulgen-positive micronuclei	micronúcleos Feulgen positivos
ferrule	casquete
ffraction boundfraction boundfraction bound	fb - Fracción unida
fertility and early development	fertilidad y desarrollo temprano
FEV1 AUC0-3 response	Respuesta (ABC0-3 del VEF1)
FFA	AGL
FFP	PFC
ferrosoferric oxide	óxido ferroso férrico
ferric oxide	óxido férrico
fetal bovine serum	suero fetal bovino
FGFR over-expression	sobreexpresión del FGFR
FGFR - Fibroblast growth factor receptor	FGFR - receptor del factor de crecimiento fibroblástico
FGFR	FGFR
FGF	FGF
fiber board container	contenedor de aglomerado de fibras
fibre board drums / fibre drum	tambor de fibra
fiber shipping container	contenedor de fibra para transporte de muestras
fibre drum	tambor de fibra
fibroblast growth factor receptor	receptor del factor de crecimiento fibroblástico
fiber drum	tambor de aglomerado de fibra
figure	figura
field monitor	auditor
fibrous ring	anillo
fibrous histiocytomas malignant	histiocitoma fibroso maligno
files/seguimiento/EUROQoL-ARG.doc	Clin Trial Report_205418_U12246601
filial generation	generación filial
fill and finish process	proceso de llenado y acabado
fill formulation	sustancia de relleno
fill volume	volumen de llenado
fill-head	cabezal de llenado
fill to the mark	llevar a enrase
filler	relleno
fill up	completar
fill mix	mezcla de relleno
filling mass	material de relleno
filling mass of the reservoir	masa de relleno del tanque de reserva
filling machine	llenadora de ampollas
film coat formulation	formulación del recubrimiento pelicular
filling mass / fill	material de relleno
filter	filtro de alto flujo
filter aide	coadyuvante de filtrado
film-coated tablet	comprimido recubierto
film-coat formulation	formulación del recubrimiento de película
film thickness	espesor de la película
filter holder	portafiltros
filter membrane	dializador, filtro de membrana
filter plate	bandeja para filtración
filter paper	papel de filtro
filter membrane	dializador
filter load	capacidad del filtro
filter-aide	coadyuvante de filtrado
filtered load	carga filtrada
Filtration differential pressure	presión diferencial de filtración
filter residue	residuo del filtrado
filtration line	filtro en línea
filtrate	filtrado
final stage	etapa final
fimbria	fimbria
final art	diseño final de presentación
final art	diseño final de presentación (envase)
Final OS analysis	Análisis final de la supervivencia total
fine particle dose	dosis de partículas finas
findings	hallazgos, observaciones
fine particle dose (FPD)	fracción de partículas finas (FPF)
fine mass	masa fina
findings	hallazgos
findings	observaciones
fineness	grosor
fineness of dispersion	finura de dispersión
fine vs coarse material	material de grano fino / grueso
finger	dedal
fineness	finura
fines	partículas finas
fingerprint	huella dactilar
first (severe) asthma exacerbation	primera reagudización grave del asma
first line cohorts	cohortes iniciales
first order autoregressive (model)	modelo autoregresivo de primer orden
Finished product manufacturer	fabricante del producto terminado
first-patient-IN	inclusión del primer paciente
first-line NSCLC patients	pacientes con CPNM que reciben tratamiento de primera línea
first-line therapy	tratamiento de primera línea
first pass metabolism	metabolismo de primer paso
first-pass metabolism	metabolismo de primer paso
fit plot	gráfico de ajuste
fixative	fijador
Fisher-exact test	prueba exacta de Fisher
fitted propensity score model	apareamiento por puntaje de propensión
fit linear type	ajuste: tipo lineal
fitted regression functions	función de regresión ajustada
"Fischer""s exact test"	prueba exacta de Fischer
fixation in 12% formalins	fijación con formalina 12%
FITA	FITA
flame test	ensayo a la llama
fixed block randomisation	aleatorización por bloques
flash point	punto de inflamación
Flame Ionisation Detector	detector de ionización de llama
fixed and preserved (tissue samples)	muestras de tejido fijadas y preservadas
fixed sequence-testing	análisis de secuencia fija
flare	enrojecimiento
fL	fL
fixed-dose combination	(comprimidos) de combinación a dosis fija
flatbed xenon exposure system	sistema de exposición a la luz de arco de xenón
flavin containing monooxygenass	monoxigenasas que contienen flavinas
flesh	piel
flavor	saborizante
flesh opaque	natural opaco
flashpoint	punto de inflamación
flavouring agent / flavour / flavorings	saborizante
flesh	beige / natural
flavonoid	flavonoide
flow rate	velocidad de flujo
flow cell	celda de flujo
flow diagram	flujograma
float type flow meter	medidor de flujo de tipo flotante
flex	punto de inflexión
float-type flow meter	medidor de flujo de tipo flotante
flow control unit	regulador de flujo
flow scintillation analyzer	analizador de centelleo de flujo
flow cytometry	citometría de flujo
flip-off seal	sello inviolable Flip-Off
fluid bed coater	recubridor de lecho fluido
flowing properties	propiedad de fluidez
flowability	fluidez
fluid bed	lecho fluido
fluid bed / fluidized bed	lecho fluidizado
fluid balance	balance hídrico
fluconazole	fluconazol
fluctuation	fluctuación
fluid bed dryer	secadero de lecho fluido
fluency	confluencia
fluid bed granulator	granulador de lecho fluidizado
fluid bed granulator	granulador de lecho fluido
fluid bed manufacturing process	proceso de fabricación en lecho fluidizado
fluid bed manufacturing process	proceso de fabricación en lecho fluido
fluid imbalance	desequilibrio de líquidos
flunisolide	flunisolida
fluid thioglycollate medium	medio líquido de tioglicolato
fluid loss	pérdida de fluido
fluid replacement	reposición de líquidos
fluidized bed process	proceso de lecho fluidizado
fluticasone	fluticasona
fluoride	fluoruro
fluorides	fluoruros
fluorouracil	fluorouracilo
flying rib	costilla lumbar
fluorescence-labeling	marcaje fluorescente
fluorine	flúor
fluorescence-quenching spot	mancha fluorescente apagada
foci	focos
foam gel	espuma, gel
foetal variation	variación fetal
focal score	puntuación focal
FNU	UNF
FMO	FMO
foam cell	célula espumosa
Fms-like tyrosine-protein kinase	tirosina cinasa similar a fms
foetal abnormality	anormalidad fetal
FMO - flavin-containing monooxygenases	FMO - monoxigenasas que contienen flavinas
follicular cell	célula folicular
foeto-placental perfusion	perfusión feto placentaria
foil inductions seal liner	revestimiento sellado por inducción
FOLFOX6	FOLFOX6
folliculitis	foliculitis
folding boxes / cartons	cajas plegables
folic acid	ácido fólico
follow-up	posterior
folding box	caja plegable
foodstuff	producto alimenticio
food stuff legislation	legislación alimentaria
follow-up	seguimiento
food allergen labelling and consumer protection act of 2004	Ley sobre el etiquetado de alérgenos alimentarios y protección al consumidor de 2004
Food Chemicals Codex	Código de Sustancias Químicas para Alimentos
food additive	aditivo alimentario
follow-up imaging	estudio de seguimiento mediante imágenes
follow-up report	informe de seguimientos
for-cause audit	auditoría con causa
forced vital capacity	capacidad vital forzada
for analysis	para analizar
foreign bodies	cuerpos extraños
forage mix	mezcla forrajera
forced expiratory flow	flujo espiratorio forzado
forced degradation study	estudio de degradación forzada
forest plot	diagrama de bosque
foreign particle	partícula extraña
foreign product	producto heterólogo
foreign protein	proteína heteróloga
foreign matter	impurezas
formoterol fumarate	fumarato de formoterol
formazin turbidity unit	unidad de turbidez de formacina
form factor	factor de forma
formulation buffer	buffer de formulación
formazan	formazán
forming film	lámina cavitada
formulation	formulación
formoterol	formoterol
formoterol fumarate powder capsule	cápsulas de polvo de fumarato de formoterol
forming foil	lámina cavitada
formula	fórmula
FPD	DPF
FPD fine particle dose	"""FPD ""dosis de partículas finas"
Forward and reverse primers	cebadores directo y reverso
four-way cross-over study	estudio cruzado de cuatro vías
forward flow test	prueba de flujo directo
Fourier transformed infrared spectroscopy	espectrosopía infrarroja con transformada de Fourier
forward scatter	dispersión frontal
FPD fine particle dose	"""FPD ""dosis de partículas finas"""
forward mutation	mutación directa
fracción unida	BI
fraction of radioactivity (non extractable)	fracción de radioactividad (no extraíble)
fraction absorbed	fracción absorbida
frame integration	integración por cuadratura
fragment antigen binding	fragmento de unión al antígeno
fractional excretion	fracción excretada
frame exposure	tiempo de paso
fractional sodium clearance	excreción fraccional de sodio
fraction unbound (fU)	fnu
fragmentor	fragmentador
free FDV	FDV libre
frameshift mutations	cambios del marco de lectura
free combination	combinación libre
FRC - functional residual capacity	capacidad residual funcional (CRF)
FRC	CRF
free acid	ácido libre
free flowing	en gránulos sueltos
free thyroxine	tiroxina libre
framework homology	homología de marcmework homology
framework homology	homología de marco
free base	base libre
free-flowing powder	polvo suelto
free/clot-bound thrombin	trombina libre y unida al coágulo
free triiodothyronine	triyodotironina libre
freeze-dryer	liofilizador
freeze dried powder	polvo liofilizado
freeze thaw cycles	ciclo de congelación-descongelación
freshly prepared	preparada en el momento
fresh frozen plasma	plasma fresco congelado
Fremantle Diabetes Study	estudio de Fremantle sobre la diabetes
freeze-fracture	criofractura
freeze/thaw lysate	lisado por congelación-descongelación
frequency count	cálculo de frecuencia
freezing phase	fase de congelación
frequency distribution	distribución de frecuencias
freshly prepared solutions	soluciones preparadas en el momento
frontalis slings	suspensión frontal
fronting	factor de asimietría anterior
"Freund""s complete adjuvant"	coadyuvante completo de Freund
frusemide	furosemida
friability	friabilidad
FRT	FRT
FTC - Fumitremorgin C	FTC - Fumitremorgina C
FTIR	FTIR
full analysis set	grupo completo de análisis
FTC	FTC
fuel gases	gases combustibles
ftalamida	ftalimida
full growth suppression	supresión total del crecimiento
full term pregnancy	embarazo a término
full protocol deviator	pacientes con desviación total del protocolo
fume hood	campana extractora de vapores
fume off	dejar salir el vapor
fumed	pirogénico
full evaporation technique	método de evaporación total
full scale	escala completa
full flow filter	filtro de alto flujo
functional antibody	anticuerpo funcional
Functional Assessment of Cancer Therapy-Lung	evaluación del estado funcional del paciente con cáncer de pulmón
Fumitremorgin C	Fumitremorgina C
