Source Term	Target Term
Parainfluenzae viral laryngotracheobronchitis	Laringotraqueobronquitis por el virus de la parainfluenza
Paragonimiasis	Paragonimiasis
Paranasal biopsy	Biopsia paranasal
Parametritis	Parametritis
Paranasal sinus and nasal cavity malignant neoplasm recurrent	Neoplasia maligna del seno paranasal y de la cavidad nasal, recurrente
Paranasal biopsy abnormal	Biopsia paranasal anormal
Paramnesia	Paramnesia
Paralysis	Parálisis
Paralysis flaccid	Parálisis flácida
Paranasal biopsy normal	Biopsia paranasal normal
Paralytic lagophthalmos	Lagoftalmos paralítico
Paranasal sinus and nasal cavity malignant neoplasm stage 0	Neoplasia maligna del seno paranasal y de la cavidad nasal, estadio 0
Paranasal sinus and nasal cavity malignant neoplasm stage II	Neoplasia maligna del seno paranasal y de la cavidad nasal, estadio II
Paranasal sinus and nasal cavity malignant neoplasm stage I	Neoplasia maligna del seno paranasal y de la cavidad nasal, estadio I
Paranasal sinus and nasal cavity malignant neoplasm stage III	Neoplasia maligna del seno paranasal y de la cavidad nasal, estadio III
Paranasal sinus and nasal cavity malignant neoplasm stage IV	Neoplasia maligna del seno paranasal y de la cavidad nasal, estadio IV
Paranoia	Paranoia
Paraparesis	Paraparesia
Paranoid personality disorder	Trastorno paranoide de la personalidad
Parapsoriasis	Parapsoriasis
Paraphilia	Parafilia
Parasite cervical specimen test negative	Prueba negativa de parásitos en muestra cervical
Paraplegia	Paraplejia
Parasite cervical specimen test positive	Prueba positiva de parásitos en muestra cervical
Parasite stool test positive	Prueba positiva de parásitos en heces
Parasite stool test negative	Prueba negativa de parásitos en heces
Parathyroid disorder	Trastorno paratiroideo
Parasite tissue specimen test positive	Prueba positiva de parásitos en muestra tisular
Parasite tissue specimen test negative	Prueba negativa de parásitos en muestra tisular
Parasite urine test positive	Prueba positiva de parásitos en orina
Parasystole	Parasístole
Parasite urine test negative	Prueba negativa de parásitos en orina
Parathyroid tumour malignant	Tumor maligno de paratiroides
Parathyroid tumour benign	Tumor benigno de paratiroides
Parathyroidectomy	Paratiroidectomía
Paratracheal lymphadenopathy	Linfadenopatía paratraqueal
Parathyroid tumour	Tumor de paratiroides
Parathyroid reimplantation	Reimplantación de la paratiroides
Parietal cell antibody	Anticuerpos anticélulas parietales
Parietal cell antibody negative	Anticuerpos anticélulas parietales negativos
Paresis	Paresia
Paravaccinia	Paravaccinia
Paratyphoid fever	Fiebre paratifoidea
Parent-child problem	Problema entre padres e hijos
Paronychia drainage	Drenaje de paroniquia
Parity	Paridad
Parietal cell antibody positive	Anticuerpos anticélulas parietales positivos
Parietal cell antibody normal	Anticuerpos anticélulas parietales normales
Paronychia	Paroniquia
Parkinsonism	Parkinsonismo
Parosmia	Parosmia
Parotid duct obstruction	Obstrucción del conducto parotídeo
Parotid abscess	Absceso parotídeo
Parotid gland enlargement	Aumento de tamaño de la glándula parótida
Patellectomy	Patelectomía
Past-pointing	Hipermetría
Patella fracture	Fractura de rótula
Paroxysmal nocturnal haemoglobinuria	Hemoglobinuria paroxística nocturna
Parotitis	Parotiditis
Pars plana cyst	Quiste de la pars plana
Parotidectomy	Parotidectomía
Patent ductus arteriosus repair	Reparación del conducto arterioso persistente
Pathogen resistance	Resistencia a patógenos
Patent ductus arteriosus	Conducto arterioso persistente
Pathological fracture	Fractura patológica
PCO2	PCO2
PCO2 increased	PCO2 aumentada
Pathological gambling	Juego patológico
PCO2 decreased	PCO2 disminuida
Peak expiratory flow rate decreased	Tasa disminuida de flujo espiratorio máximo
Peak expiratory flow rate	Tasa de flujo espiratorio máximo
Peak expiratory flow rate abnormal	Tasa anormal de flujo espiratorio máximo
Peliosis hepatis	Peliosis hepática
Pectus carinatum	Pectus carinatum
Peak expiratory flow rate increased	Tasa aumentada de flujo espiratorio máximo
Pectus excavatum	Pectus excavatum
Peak expiratory flow rate normal	Tasa normal de flujo espiratorio máximo
Pelvi-ureteric obstruction	Obstrucción pelviureteral
Pelvic inflammatory disease	Enfermedad inflamatoria pélvica
Pelvic congestion	Congestión pélvica
Pelvic haematoma obstetric	Hematoma pélvico obstétrico
Pelvic abscess	Absceso pélvico
Pelvic fibrosis	Fibrosis pélvica
Pelvic floor repair	Reparación del suelo pélvico
Pelvic kidney	Riñón pélvico
Pelvic pain	Dolor pélvico
Pelvic prolapse	Prolapso pélvico
Pelvic mass	Masa pélvica
Pelvic inflammatory disease mycoplasmal	Enfermedad inflamatoria pélvica por micoplasma
Penetrating abdominal trauma	Traumatismo abdominal penetrante
Pemphigoid	Penfigoide
Penetrating eye injury repair	Reparación de herida ocular penetrante
Pelvic venous thrombosis	Trombosis venosa pélvica
Pemphigus	Pénfigo
Penile size reduced	Pene de tamaño reducido
Penile pain	Dolor de pene
Penile ulceration	Ulceración en el pene
Penile abscess	Absceso peniano
Penile swelling	Hinchazón peneana
Penile haemorrhage	Hemorragia del pene
Penile vascular disorder	Trastorno vascular del pene
Penile vein thrombosis	Trombosis venosa del pene
Penis carcinoma recurrent	Carcinoma de pene recurrente
Penile warts excision	Extirpación de verrugas del pene
Penis carcinoma stage IV	Carcinoma de pene, estadio IV
Penis carcinoma metastatic	Carcinoma de pene metastásico
Penis carcinoma stage III	Carcinoma de pene, estadio III
Penile wart	Verruga en el pene
Penis carcinoma stage I	Carcinoma de pene, estadio I
Penis carcinoma stage II	Carcinoma de pene, estadio II
Peptic ulcer reactivated	Úlcera péptica reactivada
Peptic ulcer perforation	Úlcera péptica con perforación
Peptic ulcer	Úlcera péptica
Peptic ulcer haemorrhage	Úlcera péptica con hemorragia
Penis disorder	Trastorno de pene
Peptic ulcer perforation, obstructive	Úlcera péptica con perforación, con obstrucción
Perfume sensitivity	Sensibilidad a los perfumes
Perforation bile duct	Perforación de conductos biliares
Perforated peptic ulcer oversewing	Sobresutura de úlcera péptica perforada
Peptic ulcer, obstructive	Úlcera péptica con obstrucción
Performance fear	Miedo a actuar en público
Pericardial effusion	Derrame pericárdico
Pericardial drainage	Drenaje pericárdico
Periarthritis	Periartritis
Pericardial haemorrhage	Hemorragia pericárdica
Pericardial excision	Extirpación pericárdica
Pericardial mesothelioma malignant recurrent	Mesotelioma pericárdico maligno recurrente
Pericardial mesothelioma malignant localised	Mesotelioma pericárdico maligno localizado
Pericarditis	Pericarditis
Pericardial mesothelioma malignant advanced	Mesotelioma pericárdico maligno avanzado
Pericarditis histoplasma	Pericarditis por histoplasma
Pericarditis malignant	Pericarditis maligna
Pericarditis adhesive	Pericarditis adhesiva
Pericarditis gonococcal	Pericarditis gonocócica
Pericarditis constrictive	Pericarditis constrictiva
Pericarditis mycoplasmal	Pericarditis por micoplasma
Pericarditis syphilitic	Pericarditis sifilítica
Pericarditis meningococcal	Pericarditis meningocócica
Pericarditis uraemic	Pericarditis urémica
Pericarditis rheumatic	Pericarditis reumática
Perihepatitis gonococcal	Perihepatitis gonocócica
Pericoronitis	Pericoronitis
Peridiverticular abscess	Absceso peridiverticular
Perineal laceration	Laceración perineal
Perineal haematoma	Hematoma perineal
Perineotomy	Perineotomía
Perinephric abscess	Absceso perirrenal
Periodontal destruction	Destrucción periodontal
Perineoplasty	Perineoplastia
Perineal repair breakdown	Rotura de la sutura perineal
Periorbital haematoma	Hematoma periorbital
Periodontal disease	Enfermedad periodontal
Periodontitis	Periodontitis
Periodontal infection	Infección periodontal
Periorbital oedema	Edema periorbital
Peripheral coldness	Frialdad periférica
Periostitis hypertrophic	Periostitis hipertrófica
Peripheral circulatory failure	Insuficiencia circulatoria periférica
Periostitis	Periostitis
Peripheral nerve destruction	Destrucción de nervio periférico
Peripheral nerve injury	Lesión traumática de nervio periférico
Peripheral ischaemia	Isquemia periférica
Peripheral nerve injection	Inyección de nervio periférico
Peripheral motor neuropathy	Neuropatía periférica motora
Peripheral neuroepithelioma of bone metastatic	Neuroepitelioma periférico de hueso, metastásico
Peripheral nervous system function test abnormal	Prueba anormal de función del sistema nervioso periférico
Peripheral neuroepithelioma	Neuroepitelioma periférico
Peripheral nerve neurostimulation	Neuroestimulación de nervio periférico
Peripheral T-cell lymphoma unspecified recurrent	Linfoma periférico de células T no especificado, recurrente
Peripheral T-cell lymphoma unspecified	Linfoma periférico de células T no especificado
Peripheral sensory neuropathy	Neuropatía periférica sensitiva
Peripheral neuroepithelioma of bone recurrent	Neuroepitelioma periférico de hueso, recurrente
Peripheral T-cell lymphoma unspecified refractory	Linfoma periférico de células T no especificado, refractario
Peripheral T-cell lymphoma unspecified stage II	Linfoma periférico de células T no especificado, estadio II
Peripheral T-cell lymphoma unspecified stage I	Linfoma periférico de células T no especificado, estadio I
Peripheral T-cell lymphoma unspecified stage III	Linfoma periférico de células T no especificado, estadio III
Peripheral T-cell lymphoma unspecified stage IV	Linfoma periférico de células T no especificado, estadio IV
Peripheral vascular disorder	Trastorno vascular periférico
Periproctitis	Periproctitis
Periportal sinus dilatation	Dilatación del seno periportal
Peristalsis visible	Peristalsis visible
Peritoneal chlamydia infection	Infección peritoneal por clamidia
Peritoneal adhesions	Adherencias peritoneales
Peritoneal abscess	Absceso peritoneal
Peritoneal dialysis	Diálisis peritoneal
Peritoneal adhesions division	División de adherencias peritoneales
Peritoneal fibrosis	Fibrosis peritoneal
Peritoneal mesothelioma malignant recurrent	Mesotelioma peritoneal maligno recurrente
Peritoneal mesothelioma malignant advanced	Mesotelioma peritoneal maligno avanzado
Peritoneal haemorrhage	Hemorragia peritoneal
Peritonsillar abscess	Absceso periamigdalar
Pernicious anaemia	Anemia perniciosa
Peritonitis pneumococcal	Peritonitis neumocócica
Peritonitis gonococcal	Peritonitis gonocócica
Peritonitis sclerosing	Peritonitis esclerosante
Peritonitis syphilitic	Peritonitis sifilítica
Peroneal muscular atrophy	Atrofia muscular peroneal
Peroneal nerve palsy	Parálisis del nervio peroneo
Peroneal nerve injury	Lesión traumática del nervio peroneo
Persecutory delusion	Trastorno delirante persecutorio
Perseveration	Perseveración
Personality change	Cambio de personalidad
Persistent foetal circulation	Circulación fetal persistente
Personality change due to a general medical condition	Cambio de personalidad por una enfermedad orgánica general
Petit mal epilepsy	Epilepsia de pequeño mal
Personality disorder of childhood	Trastorno de la personalidad en la infancia
Pertussis	Tos ferina
Petechiae	Petequias
Personality disorder	Trastorno de la personalidad
Petroleum distillate poisoning	Intoxicación por destilados del petróleo
Peyronie's disease	Enfermedad de Peyronie
pH semen	pH del semen
pH semen decreased	pH disminuido del semen
Petrositis	Petrositis
Peutz-Jeghers syndrome	Síndrome de Peutz-Jeghers
pH urine	pH urinario
pH semen normal	pH normal del semen
pH urine decreased	pH urinario disminuido
pH semen increased	pH elevado del semen
pH urine abnormal	pH urinario anormal
Phaeochromocytoma	Feocromocitoma
pH urine normal	pH urinario normal
Phacolytic glaucoma	Glaucoma facolítico
pH urine increased	pH urinario elevado
Phaehyphomycosis	Faeohifomicosis
Pharyngeal cancer stage IV	Cáncer faríngeo, estadio IV
Pharyngeal cancer stage III	Cáncer faríngeo, estadio III
Pharyngeal cancer stage II	Cáncer faríngeo, estadio II
Pharyngeal cancer stage 0	Cáncer faríngeo, estadio 0
Pharyngeal cancer recurrent	Cáncer faríngeo recurrente
Pharyngeal cancer stage I	Cáncer faríngeo, estadio I
Pharyngeal cyst	Quiste faríngeo
Pharyngeal cancer stage unspecified	Cáncer faríngeo, estadio no especificado
Pharyngeal haemorrhage	Hemorragia faríngea
Pharyngeal chlamydia infection	Infección faríngea por clamidia
Pharyngeal fistula	Fístula faríngea
Pharyngeal neoplasm benign	Neoplasia faríngea benigna
Pharyngeal ulceration	Ulceración faríngea
Pharyngeal pouch	Bolsa faríngea
Pharyngeal oedema	Edema faríngeo
Pharyngeal reconstruction	Reconstrucción de la faringe
Pharyngitis mycoplasmal	Faringitis por micoplasma
Pharyngoconjunctival fever of children	Fiebre faringoconjuntival de los niños
Pharyngitis streptococcal	Faringitis estreptocócica
Pharyngitis	Faringitis
Phlebitis superficial	Flebitis superficial
Phlebotomus fever	Fiebre por flebótomo
Phlebitis deep	Flebitis profunda
Phenylketonuria	Fenilcetonuria
Phimosis	Fimosis
Phlebitis	Flebitis
Phobia	Fobia
Phobic avoidance	Evitación fóbica
Phobia of exams	Fobia a los exámenes
Phonological disorder	Trastorno fonológico
Phobia of flying	Fobia a los aviones
Photon radiation therapy to brain	Radioterapia cerebral con fotones
Phosphenes	Fosfenos
Photokeratitis	Fotoqueratitis
Photodynamic therapy	Tratamiento fotodinámico
Photon radiation therapy to bladder	Radioterapia de vejiga con fotones
Photon radiation therapy to bone	Radioterapia de hueso con haz de fotones
Photon radiation therapy to lung	Radioterapia de pulmón con fotones
Photon radiation therapy to colon	Radioterapia de colon con fotones
Photon radiation therapy to ear, nose, or throat	Radioterapia de oído, nariz o garganta con fotones
Photon radiation therapy to breast	Radioterapia de mama con haz de fotones
Photon radiation therapy to skin	Radioterapia de la piel con fotones
Photon radiation therapy to pleura	Radioterapia de la pleura con fotones
Photon radiation therapy to thyroid	Radioterapia de tiroides con fotones
Photon radiation therapy to pancreas	Radioterapia de páncreas con fotones
Photon radiation therapy to prostate	Radioterapia de próstata con fotones
Photophobia	Fotofobia
Photoonycholysis	Fotoonicolisis
Photosensitivity allergic reaction	Reacción alérgica fotosensible
Photon radiation therapy to uterus	Radioterapia de útero con fotones
Photopsia	Fotopsia
Physiotherapy	Fisioterapia
Physical examination	Exploración física
Physical abuse	Abuso físico
Photosensitivity reaction	Reacción de fotosensibilidad
Physical assault	Agresión física
Pigmentation buccal	Pigmentación bucal
Pica	Pica
Pilonidal sinus repair	Reparación de seno pilonidal
Pilonidal cyst	Quiste pilonidal
Pigmentation lip	Pigmentación labial
Piloerection	Piloerección
Pickwickian syndrome	Síndrome de Pickwick
Pigmentary glaucoma	Glaucoma pigmentario
Pierre Robin syndrome	Síndrome de Pierre Robin
Pinguecula	Pinguécula
Pituitary infarction	Infarto de hipófisis
Pineal germinoma	Germinoma pineal
Pinta	Mal de Pinta
Pinealoma	Pinealoma
Pituitary tumour	Tumor de hipófisis
Pithiatism	Pitiatismo
Pituitary tumour removal	Extirpación de tumor hipofisario
Pineocytoma	Pineocitoma
Pityriasis rubra pilaris	Pitiríasis rubra pilaris
Pityriasis alba	Pitiríasis alba
Pityriasis	Pitiríasis
Pityriasis rosea	Pitiríasis rosada
Pituitary-dependent Cushing's syndrome	Síndrome de Cushing dependiente de la hipófisis
Placenta praevia	Placenta previa
Placenta praevia haemorrhage	Hemorragia por placenta previa
Placental disorder	Trastorno placentario
Plantar fasciitis	Fasciitis plantar
Plague	Peste
Placental polyp	Pólipo placentario
Placental transfusion syndrome	Síndrome de transfusión placentaria
Placental necrosis	Necrosis placentaria
Placental insufficiency	Insuficiencia placentaria
Plasma cells absent	Ausencia de células plasmáticas
Plasma expander transfusion	Transfusión de un expansor del plasma
Plasma viscosity	Viscosidad plasmática
Plasma cells increased	Células plasmáticas aumentadas
Plasma cells present	Presencia de células plasmáticas
Plasma viscosity normal	Viscosidad plasmática normal
Plasma viscosity decreased	Viscosidad plasmática disminuida
Plasmacytosis	Plasmacitosis
Plasmapheresis	Plasmaféresis
Plasmacytoma	Plasmacitoma
Plasma viscosity abnormal	Viscosidad plasmática anormal
Plasmin inhibitor increased	Inhibidor de la plasmina elevado
Plasminogen normal	Plasminógeno normal
Plasminogen increased	Plasminógeno elevado
Plasmin inhibitor decreased	Inhibidor de la plasmina disminuido
Plasmin increased	Plasmina elevada
Plasminogen decreased	Plasminógeno disminuido
Platelet adhesiveness decreased	Adherencia plaquetaria disminuida
Plastic surgery to the face	Cirugía plástica de la cara
Platelet aggregation decreased	Agregación plaquetaria disminuida
Plasmodium falciparum infection	Infección por Plasmodium falciparum
Platelet adhesiveness increased	Adherencia plaquetaria aumentada
Platelet aggregation increased	Agregación plaquetaria aumentada
Platelet count	Recuento de plaquetas
Platelet destruction increased	Destrucción plaquetaria aumentada
Platelet count abnormal	Recuento anormal de plaquetas
Platelet count decreased	Recuento disminuido de plaquetas
Platelet count normal	Recuento normal de plaquetas
Platelet disorder	Trastorno plaquetario
Platelet maturation arrest	Detención de la maduración plaquetaria
Platelet morphology abnormal	Morfología anormal de las plaquetas
Platelet transfusion	Transfusión de plaquetas
Platelet production decreased	Producción plaquetaria disminuida
Platypnoea	Platipnea
Pleural calcification	Calcificación pleural
Pleocytosis	Pleocitosis
Pleural adhesion	Adherencia pleural
Pleural disorder	Trastorno pleural
Pleural haemorrhage	Hemorragia pleural
Pleural effusion	Derrame pleural
Pleural fibrosis	Fibrosis pleural
Pleural mesothelioma	Mesotelioma pleural
Pleural rub	Roce pleural
Pleural mesothelioma malignant advanced	Mesotelioma pleural maligno avanzado
Pleurectomy	Pleurectomía
Pleural mesothelioma malignant recurrent	Mesotelioma pleural maligno recurrente
Pleuroscopy	Pleuroscopia
Pleurisy	Pleuresía
Pleurothotonus	Pleurotótonos
Pleurodesis	Pleurodesis
Pleuritic pain	Dolor pleurítico
Pneumonia	Neumonía
Pneumaturia	Neumaturia
Plicated tongue	Lengua plegada
Pneumonectomy	Neumonectomía
Pneumonia adenoviral	Neumonía por adenovirus
Pneumoconiosis	Neumoconiosis
Pneumonia bordetella	Neumonía por bordetella
Pneumonia aspiration	Neumonía por aspiración
Pneumonia blastomyces	Neumonía por blastomices
Pneumonia chlamydial	Neumonía por clamidia
Pneumonia cytomegaloviral	Neumonía por citomegalovirus
Pneumonia anthrax	Neumonía por ántrax
Pneumonia haemophilus	Neumonía por hemophilus
Pneumonia influenzal	Neumonía gripal
Pneumonia klebsiella	Neumonía por klebsiella
Pneumonia escherichia	Neumonía por escherichia
Pneumonia legionella	Neumonía por legionella
Pneumonia herpes viral	Neumonía herpética
Pneumonia parainfluenzae viral	Neumonía por virus parainfluenzae
Pneumonia mycoplasmal	Neumonía por mycoplasma
Pneumonia moraxella	Neumonía por moraxella
Pneumonia lipoid	Neumonía lipoidea
Pneumonia pneumococcal	Neumonía neumocócica
Pneumonia measles	Neumonía por sarampión
Pneumonia salmonella	Neumonía por salmonella
Pneumonia staphylococcal	Neumonía estafilocócica
Pneumonia streptococcal	Neumonía estreptocócica
Pneumonia respiratory syncytial viral	Neumonía por virus sincitial respiratorio
Pneumonia primary atypical	Neumonía atípica primaria
Pneumonitis	Neumonitis
Pneumonia viral	Neumonía viral
Pneumonia tularaemia	Neumonía tularémica
Pneumonitis chemical	Neumonitis química
Pneumothorax	Neumotórax
Pneumothorax spontaneous tension	Neumotórax espontáneo a tensión
PO2	PO2
PO2 decreased	PO2 disminuida
Poikilocytosis	Poiquilocitosis
PO2 increased	PO2 elevada
Pneumothorax traumatic	Neumotórax traumático
PO2 normal	PO2 normal
Pocket erosion	Erosión del bolsillo
Poisoning deliberate	Intoxicación intencional
Polioencephalitis	Polioencefalitis
Poland's syndrome	Síndrome de Poland
Poliomyelitis	Poliomielitis
Pollakiuria	Polaquiuria
Polycythaemia	Policitemia
Polyarteritis nodosa	Poliarteritis nudosa
Polyarthritis	Poliartritis
Polychromasia	Policromasia
Polydactyly	Polidactilia
Polycythaemia vera	Policitemia vera
Pollution	Polución
Polycystic ovaries	Ovarios poliquísticos
Polydipsia	Polidipsia
Polydipsia psychogenic	Polidipsia psicógena
Polyglandular autoimmune syndrome type II	Síndrome autoinmume poliglandular de tipo II
Polyglandular autoimmune syndrome type I	Síndrome autoinmume poliglandular de tipo I
Polyglandular disorder	Trastorno poliglandular
Polyhydramnios	Polihidramnios
Polymenorrhoea	Polimenorrea
Polymyalgia rheumatica	Polimialgia reumática
Polyneuropathy alcoholic	Polineuropatía alcohólica
Polyneuropathy	Polineuropatía
Polymorphic light eruption	Erupción polimorfa por la luz solar
Polymyositis	Polimiositis
Polyneuropathy in malignant disease	Polineuropatía en una enfermedad maligna
Polyserositis	Poliserositis
Polyneuropathy idiopathic progressive	Polineuropatía idiopática progresiva
Polyneuropathy mumps	Polineuropatía por paperas
Polyuria	Poliuria
Poriomania	Poriomanía
Porencephaly	Porencefalia
Poor sanitation	Condiciones higiénicas deficientes
Porphobilinogen abnormal	Porfobilinógeno anormal
Poor peripheral circulation	Circulación periférica deficiente
Porokeratosis	Poroqueratosis
Porphyria acute	Porfiria aguda
Porphyrinuria	Porfirinuria
Portal anastomosis	Anastomosis portal
Portal hypertension	Hipertensión portal
Porphyria	Porfiria
Porphyria non-acute	Porfiria no aguda
Portal vein thrombosis	Trombosis de la vena porta
Portoenterostomy	Portoenterostomía
Portal vein phlebitis	Flebitis de la vena porta
Portal shunt	Derivación portal
Positive Rombergism	Prueba de Romberg positiva
Portal pyaemia	Piemia portal
Post polio syndrome	Síndrome postpolio
Positron emission tomogram normal	Tomografía por emisión de positrones normal
Positron emission tomogram abnormal	Tomografía por emisión de positrones anormal
Positron emission tomogram	Tomografía por emisión de positrones
Post inflammatory pigmentation change	Cambio de pigmentación postinflamatorio
Post abortion complication	Complicación postaborto
Post vaccination syndrome	Síndrome postvacunación
Post abortion haemorrhage	Hemorragia postaborto
Post coital contraception	Anticoncepción postcoital
Post gastric surgery syndrome	Síndrome de postcirugía gástrica
Postoperative stitch sinus	Fístula postquirúrgica en el punto de sutura
Postpartum venous thrombosis	Trombosis venosa postparto
Post streptococcal glomerulonephritis	Glomerulonefritis postestreptocócica
Postoperative analgesia	Analgesia postquirúrgica
Postpartum hypopituitarism	Hipopituitarismo postparto
Post-traumatic osteoporosis	Osteoporosis postraumática
Post-traumatic epilepsy	Epilepsia postraumática
Post-traumatic stress disorder	Trastorno por estrés postraumático
Post-traumatic headache	Cefalea postraumática
Post-traumatic amnestic disorder	Trastorno amnésico postraumático
Postauricular fistula	Fístula postauricular
Postcricoid cancer	Cáncer postcricoideo
Posterior capsule opacification	Opacificación de la cápsula posterior
Posterior tibial nerve injury	Lesión traumática del nervio tibial posterior
Post herpetic neuralgia	Neuralgia postherpética
Posthitis	Postitis
Postmastectomy lymphoedema syndrome	Síndrome de linfedema postmastectomía
Postmature baby	Recién nacido postérmino
Postpartum neurosis	Neurosis postparto
Postpartum haemorrhage	Hemorragia postparto
Postoperative wound infection	Infección postquirúrgica de la herida
Postoperative heterotopic calcification	Calcificación heterotópica postquirúrgica
Posturing	Adopción de posturas
Posture abnormal	Postura anormal
Postpartum uterine subinvolution	Subinvolución uterina postparto
Postpartum sepsis	Sepsis postpartum
Potassium hydroxide preparation positive	Preparación con hidróxido potásico positiva
Potassium hydroxide preparation	Preparación con hidróxido potásico
Potassium hydroxide preparation negative	Preparación con hidróxido potásico negativa
Poverty of thought content	Pobreza del contenido del pensamiento
Pouchitis	Bolsitis
Poverty	Pobreza
Poverty of speech	Pobreza del habla
Potter's syndrome	Síndrome de Potter
Pre-eclampsia	Preeclampsia
Prader-Willi syndrome	Síndrome de Prader-Willi
Pre-existing condition improved	Mejoría de una enfermedad preexistente
Premedication	Premedicación
Prealbumin	Prealbúmina
Precipitate labour	Parto provocado
Preauricular cyst	Quiste preauricular
Precerebral artery occlusion	Oclusión arterial precerebral
Precursor B-lymphoblastic lymphoma	Linfoma linfoblástico de precursoras de células B
Precursor B-lymphoblastic lymphoma stage II	Linfoma linfoblástico de precursoras de células B, estadio II
Precursor B-lymphoblastic lymphoma stage I	Linfoma linfoblástico de precursoras de células B, estadio I
Precursor B-lymphoblastic lymphoma stage IV	Linfoma linfoblástico de precursoras de células B, estadio IV
Precursor B-lymphoblastic lymphoma stage III	Linfoma linfoblástico de precursoras de células B, estadio III
Precursor T-lymphoblastic lymphoma/leukaemia	Linfoma/leucemia linfoblástica de precursoras de células T
Precursor T-lymphoblastic lymphoma/leukaemia recurrent	Linfoma/leucemia linfoblástica de precursoras de células T, recurrente
Precursor T-lymphoblastic lymphoma/leukaemia refractory	Linfoma/leucemia linfoblástica de precursoras de células T, refractario
Pregnancy on oral contraceptive	Embarazo durante el tratamiento con anticonceptivos orales
Precursor T-lymphoblastic lymphoma/leukaemia stage IV	Linfoma/leucemia linfoblástica de precursoras de células T, estadio IV
Precursor T-lymphoblastic lymphoma/leukaemia stage I	Linfoma/leucemia linfoblástica de precursoras de células T, estadio I
Precursor T-lymphoblastic lymphoma/leukaemia stage III	Linfoma/leucemia linfoblástica de precursoras de células T, estadio III
Precursor T-lymphoblastic lymphoma/leukaemia stage II	Linfoma/leucemia linfoblástica de precursoras de células T, estadio II
Pregnancy in habitual aborter	Embarazo en mujer con abortos habituales
Pregnancy	Embarazo
Pregnancy test	Prueba del embarazo
Pregnancy test false positive	Falso positivo en prueba de embarazo
Pregnancy test negative	Prueba de embarazo negativa
Pregnancy test positive	Prueba de embarazo positiva
Pregnancy test urine	Prueba del embarazo en orina
Pregnancy test urine positive	Prueba del embarazo en orina positiva
Pregnancy with advanced maternal age	Embarazo en mujer de edad avanzada
Pregnancy test urine negative	Prueba del embarazo en orina negativa
Premature baby	Nacido prematuro
Premature labour	Alumbramiento prematuro
Premature separation of placenta	Separación prematura de la placenta
Premature ejaculation	Eyaculación precoz
Premature menopause	Menopausia prematura
Premature rupture of membranes	Ruptura prematura de membranas
Presbyacusis	Presbiacusia
Presbyopia	Presbicia
Prepuce dorsal slit	Hendidura dorsal del prepucio
Premenstrual syndrome	Síndrome premenstrual
Prepuce redundant	Prepucio redundante
Presenile dementia	Demencia presenil
Presyncope	Presíncope
Priapism	Priapismo
Previous caesarean section	Cesárea previa
Pressure of speech	Presión del habla
Primary hyperaldosteronism	Hiperaldosteronismo primario
Primary mediastinal large B-cell lymphoma	Linfoma mediastínico primario de células B grandes
Primary hypothyroidism	Hipotiroidismo primario
Primary cerebellar degeneration	Degeneración cerebelosa primaria
Primary amyloidosis	Amiloidosis primaria
Primary mediastinal large B-cell lymphoma stage II	Linfoma mediastínico primario de células B grandes, estadio II
Primary mediastinal large B-cell lymphoma recurrent	Linfoma mediastínico primario de células B grandes, recurrente
Primary mediastinal large B-cell lymphoma refractory	Linfoma mediastínico primario de células B grandes, refractario
Primary mediastinal large B-cell lymphoma stage I	Linfoma mediastínico primario de células B grandes, estadio I
Primigravida	Primigrávida
Primary mediastinal large B-cell lymphoma stage III	Linfoma mediastínico primario de células B grandes, estadio III
Primary mediastinal large B-cell lymphoma stage IV	Linfoma mediastínico primario de células B grandes, estadio IV
Proctitis chlamydial	Proctitis por clamidia
Primiparous	Primípara
Proctalgia	Proctalgia
Proctitis	Proctitis
Prinzmetal angina	Angina de Prinzmetal
Procedural site reaction	Reacción en la zona de aplicación del procedimiento
Proctitis herpes	Proctitis por herpes
Proctitis gonococcal	Proctitis gonocócica
Proctitis haemorrhagic	Proctitis hemorrágica
Proctoscopy abnormal	Proctoscopia anormal
Proctoscopy	Proctoscopia
Proctitis monilial	Proctitis por monilia
Proctocolitis	Proctocolitis
Proctitis ulcerative	Proctitis ulcerosa
Profound mental retardation	Retraso mental profundo
Proctoscopy normal	Proctoscopia normal
Progeria	Progeria
Progestin replacement therapy	Tratamiento de sustitución de progestina
Productive cough	Tos productiva
Progestin therapy	Tratamiento con progestina
Progressive bulbar palsy	Parálisis bulbar progresiva
Progressive cerebellar degeneration	Degeneración cerebelosa progresiva
Progressive massive fibrosis	Fibrosis masiva progresiva
Progressive external ophthalmoplegia	Oftalmoplejia progresiva externa
Progressive muscular atrophy	Atrofia muscular progresiva
Progressive supranuclear palsy	Parálisis supranuclear progresiva
Prolactinoma	Prolactinoma
Prolactin-producing pituitary tumour	Tumor hipofisario productor de prolactina
Progressive multifocal leukoencephalopathy	Leucoencefalopatía multifocal progresiva
Promiscuity	Promiscuidad
Prophylactic chemotherapy	Quimioterapia profiláctica
Prolymphocytic leukaemia	Leucemia prolinfocítica
Prostate cancer metastatic	Cáncer de próstata metastásico
Prolonged pregnancy	Embarazo prolongado
Prolonged labour	Parto prolongado
Promotion of wound healing	Facilitación de la cicatrización de una herida
Prophylaxis	Profilaxis
